# triangulation_type; parametric_space_shape; improve_mesh; debugging_stl_output; n_grid_points_x; n_grid_points_y; number of rings; standard deviation of distance; standard deviation of relative distances (distance/mean distance on every slice); duration
0;0;False;False;11;11;43;2.9489669391611915;0.6857425432973921;133.11070063905208
0;0;True;False;11;11;43;2.9797346769768724;0.685246150878927;1592.625437983137
0;1;False;False;11;11;43;1.2577002603426162;0.30677434379997987;142.57898713901523
0;1;True;False;11;11;43;1.2420931803202169;0.29574114344177144;1563.1049088369473
0;2;False;False;11;11;43;1.3072775652319828;0.3157216838085184;132.19872343199677
0;2;True;False;11;11;43;1.2487258734518434;0.29649812731247943;1511.513842678134
0;3;False;False;11;11;43;1.6802223895490362;0.3930713960722115;133.1921812100627
0;3;True;False;11;11;43;1.4308082679526817;0.3289163251491654;1530.9969602951023
1;0;False;False;11;11;43;3.3835653027769053;0.6405593618912921;124.14841492287815
1;0;True;False;11;11;43;3.3296625034492613;0.6482132829294273;1608.813272848056
1;1;False;False;11;11;43;2.4211139435563545;0.4677754398343457;120.45659233396873
1;1;True;False;11;11;43;1.7900388015413442;0.3852625923504617;1413.5784565669892
1;2;False;False;11;11;43;2.4069874142752155;0.46365389579551575;120.93487185199047
1;2;True;False;11;11;43;1.7523732440950242;0.3759608143129076;1388.7049165929493
1;3;False;False;11;11;43;1.4323662501776169;0.32468976711104597;121.1113731499936
1;3;True;False;11;11;43;1.310711646735836;0.29920325826472927;1507.2044490249828
2;0;False;False;11;11;43;3.166845902394146;0.6754145244000737;74.28001881192904
2;0;True;False;11;11;43;3.1165741848849;0.6678334296663775;1529.7048151721247
2;1;False;False;11;11;43;3.274789906191759;0.5889893785739018;73.77921822099597
2;1;True;False;11;11;43;1.890891339113374;0.42158018725835605;1375.2339562459383
2;2;False;False;11;11;43;3.229022551895105;0.5739286952747706;74.77760573307751
2;2;True;False;11;11;43;1.8995089617904646;0.42562032280376666;1359.2501175188809
2;3;False;False;11;11;43;1.3665423019600709;0.31804320311608;73.78310875801253
2;3;True;False;11;11;43;1.3563005768650873;0.3119897233801585;1472.6472631560464
3;0;False;False;11;11;43;3.16722985374434;0.6785536974880412;75.14282967310282
3;0;True;False;11;11;43;3.1158632508769175;0.668958480642441;1511.1636123300996
3;1;False;False;11;11;43;3.2211403292060394;0.5757682461842342;75.68549574300414
3;1;True;False;11;11;43;1.8500180031058309;0.4138772720309273;1381.2758020701294
3;2;False;False;11;11;43;3.1687207998035376;0.5554477220361735;80.71282872397569
3;2;True;False;11;11;43;1.8455908870160658;0.40949431156442784;1392.1128493508731
3;3;False;False;11;11;43;1.4178711823273076;0.3351601705366975;77.08182903789566
3;3;True;False;11;11;43;1.3950315182491304;0.32676381466489207;1500.1580400169187
